Date,Open,High,Low,Close,Adj Close,Volume
2021-10-06,17861.5,17884.599609375,17613.150390625,17646.0,17646.0,395800
2021-10-07,17810.55078125,17857.55078125,17763.80078125,17790.349609375,17790.349609375,419900
2021-10-08,17886.849609375,17941.849609375,17840.349609375,17895.19921875,17895.19921875,324100
2021-10-11,17867.55078125,18041.94921875,17839.099609375,17945.94921875,17945.94921875,375800
2021-10-12,17915.80078125,18008.650390625,17864.94921875,17991.94921875,17991.94921875,355600
2021-10-13,18097.849609375,18197.80078125,18050.75,18161.75,18161.75,506700
2021-10-14,18272.849609375,18350.75,18248.69921875,18338.55078125,18338.55078125,538700
2021-10-18,18500.099609375,18543.150390625,18445.30078125,18477.05078125,18477.05078125,469900
2021-10-19,18602.349609375,18604.44921875,18377.69921875,18418.75,18418.75,368200
2021-10-20,18439.900390625,18458.30078125,18209.349609375,18266.599609375,18266.599609375,371300
2021-10-21,18382.69921875,18384.19921875,18048.0,18178.099609375,18178.099609375,365900
2021-10-22,18230.69921875,18314.25,18034.349609375,18114.900390625,18114.900390625,324700
2021-10-25,18229.5,18241.400390625,17968.5,18125.400390625,18125.400390625,418700
2021-10-26,18154.5,18310.44921875,18099.30078125,18268.400390625,18268.400390625,341400
2021-10-27,18295.849609375,18342.05078125,18167.900390625,18210.94921875,18210.94921875,335200
2021-10-28,18187.650390625,18190.69921875,17799.44921875,17857.25,17857.25,374200
2021-10-29,17833.05078125,17915.849609375,17613.099609375,17671.650390625,17671.650390625,336500
2021-11-01,17783.150390625,17954.099609375,17697.099609375,17929.650390625,17929.650390625,281200
2021-11-02,17970.900390625,18012.25,17847.599609375,17888.94921875,17888.94921875,296400
2021-11-03,17947.94921875,17988.75,17757.94921875,17829.19921875,17829.19921875,331000
2021-11-04,17935.05078125,17947.55078125,17900.599609375,17916.80078125,17916.80078125,48500
2021-11-08,18040.19921875,18087.80078125,17836.099609375,18068.55078125,18068.55078125,338900
2021-11-09,18084.349609375,18112.599609375,17983.05078125,18044.25,18044.25,270200
2021-11-10,17973.44921875,18061.25,17915.0,18017.19921875,18017.19921875,261400
2021-11-11,17967.44921875,17971.349609375,17798.19921875,17873.599609375,17873.599609375,232100
2021-11-12,17977.599609375,18123.0,17905.900390625,18102.75,18102.75,249100
2021-11-15,18140.94921875,18210.150390625,18071.30078125,18109.44921875,18109.44921875,280400
2021-11-16,18127.05078125,18132.650390625,17958.80078125,17999.19921875,17999.19921875,267400
2021-11-17,17939.349609375,18022.650390625,17879.25,17898.650390625,17898.650390625,295700
2021-11-18,17890.55078125,17945.599609375,17688.5,17764.80078125,17764.80078125,278400
2021-11-22,17796.25,17805.25,17280.44921875,17416.55078125,17416.55078125,356400
2021-11-23,17281.75,17553.69921875,17216.099609375,17503.349609375,17503.349609375,308800
